feature,importance
f29,598496.4156036377
f28,571595.4860229492
f2,395642.1855621338
f27,389111.2224807739
f4,319158.42334747314
f6,299048.6671447754
f3,259835.40014648438
f7,219445.73629760742
f113,200862.35093307495
f9,180195.37783050537
f116,179962.82723236084
f124,151269.5806350708
f77,143712.79418945312
f115,140273.04207229614
f109,138521.804561615
f122,136313.27577209473
f110,129011.60328674316
f107,127453.58753967285
f118,124097.54447174072
f8,123348.15853118896
f112,115725.45793151855
f111,111938.08506011963
f105,104710.1372756958
f10,104621.46678161621
f1,104177.61904907227
f108,93714.44667816162
f106,88745.67599868774
f114,88519.47730255127
f5,85637.54816436768
f79,67777.72506332397
f129,64484.55927658081
f125,63994.660289764404
f157,58725.905853271484
f19,57778.69119262695
f76,52842.873722076416
f102,50870.86254501343
f152,50722.57469177246
f128,45871.920375823975
f20,44386.275733947754
f120,40052.13737487793
f126,39348.543560028076
f72,37455.53610610962
f121,37355.87602996826
f24,35953.82403945923
f123,35470.87145233154
f45,34546.45211791992
f150,34480.67992782593
f74,34321.245460510254
f32,32002.6169090271
f46,30619.288024902344
f155,30312.344535827637
f132,30233.77544784546
f171,29874.667972564697
f55,29451.20351409912
f44,29026.05556869507
f30,28834.435089111328
f48,28477.59870147705
f60,27759.48659133911
f39,27256.392532348633
f131,27049.133834838867
f53,26819.634284973145
f31,26749.565532684326
f43,26107.031665802002
f54,25913.38819503784
f57,25614.821563720703
f13,25583.9853515625
f62,25130.97707748413
f41,24704.243656158447
f34,24689.3123588562
f104,24263.87985610962
f69,23959.40746307373
f103,22846.919631958008
f59,22787.924980163574
f75,21783.705814361572
f71,21438.00239944458
f67,20515.7241897583
f47,20205.71489715576
f33,20017.681964874268
f58,19829.411743164062
f119,19672.781410217285
f147,19421.718227386475
f40,18368.826805114746
f73,18192.923309326172
f36,17213.71660232544
f61,16699.661743164062
f17,15921.747184753418
f68,15591.536697387695
f172,15590.464004516602
f37,15513.998798370361
f18,11932.983715057373
f35,11504.482585906982
f64,11226.804279327393
f38,11213.1559715271
f127,10978.851470947266
f101,10872.640365600586
f208,10504.78256225586
f15,10477.48080444336
f176,10031.981609344482
f180,9490.684810638428
f65,9149.682376861572
f50,8542.255722045898
f0,7729.284484863281
f159,7569.773632049561
f56,7500.183090209961
f51,7382.516483306885
f183,7365.993022918701
f168,7231.898784637451
f163,6382.804798126221
f52,6297.53267288208
f134,6120.909702301025
f42,5961.906517028809
f92,5407.477363586426
f154,5306.326393127441
f209,5176.769191741943
f187,5064.3797035217285
f25,4975.803913116455
f66,4605.185703277588
f63,4543.5405921936035
f174,4135.404296875
f70,4082.2036781311035
f133,4042.7606048583984
f146,4035.181652069092
f49,4020.1945152282715
f189,3982.789691925049
f178,3791.868583679199
f84,3705.704002380371
f144,3654.410598754883
f188,3583.2975883483887
f136,3490.3553161621094
f166,3420.368495941162
f190,3320.3066940307617
f156,3220.600872039795
f100,3123.017375946045
f94,3092.214424133301
f142,3017.411708831787
f192,2989.447090148926
f198,2871.432502746582
f179,2809.990608215332
f161,2762.161003112793
f193,2734.827693939209
f191,2579.60701751709
f153,2488.2717933654785
f16,2434.044403076172
f89,2135.164493560791
f169,2095.788185119629
f135,1888.5438766479492
f12,1844.447898864746
f194,1838.6719970703125
f212,1820.4798126220703
f203,1791.094581604004
f185,1554.8801155090332
f26,1519.2062911987305
f206,1479.7245063781738
f196,1472.3347930908203
f214,1462.5201950073242
f141,1457.520092010498
f165,1433.9112014770508
f117,1401.0166053771973
f177,1397.5161819458008
f158,1389.9209098815918
f82,1342.076602935791
f99,1267.8890113830566
f23,1250.3449974060059
f197,1235.082218170166
f21,1201.0776977539062
f218,951.8458061218262
f167,905.560115814209
f22,900.0521087646484
f181,879.7371063232422
f195,843.8204956054688
f164,829.8778953552246
f213,625.8520889282227
f184,624.6939010620117
f199,550.5022964477539
f211,544.0960998535156
f200,530.6200981140137
f205,460.4386978149414
f81,426.06510162353516
f162,401.84630966186523
f186,265.7723045349121
f170,254.57229232788086
f14,209.01850128173828
f204,168.20169830322266
f90,160.92530059814453
f138,137.1874008178711
f98,135.5964012145996
f201,124.74359893798828
f91,120.43220138549805
f87,78.55899810791016
f207,68.55979919433594
f210,65.92130279541016
f88,0.0
f85,0.0
f80,0.0
f78,0.0
f11,0.0
f83,0.0
f86,0.0
f130,0.0
f93,0.0
f97,0.0
f96,0.0
f95,0.0
f139,0.0
f140,0.0
f149,0.0
f151,0.0
f145,0.0
f148,0.0
f143,0.0
f137,0.0
f175,0.0
f160,0.0
f182,0.0
f173,0.0
f202,0.0
f215,0.0
f216,0.0
f217,0.0
f219,0.0
f220,0.0
