feature,importance
f29,362818.86285209656
f28,309304.76311683655
f27,138683.403591156
f6,88854.7845916748
f113,73028.4634475708
f2,72544.09769821167
f7,66472.81492042542
f3,61729.47557449341
f4,58285.05174064636
f9,48170.98780250549
f116,46040.42457962036
f77,45450.445625305176
f124,44537.63893508911
f109,43023.323875427246
f115,42596.38259124756
f8,40328.190448760986
f111,40079.87419319153
f118,39087.01816749573
f112,38775.41278266907
f122,37333.95944213867
f110,34491.973932266235
f105,33955.4061794281
f1,32231.776851654053
f107,32164.27068901062
f106,31767.134536743164
f5,31431.06206703186
f108,30218.907487869263
f10,27700.484338760376
f128,22447.366109848022
f125,22140.911317825317
f114,21619.202672958374
f152,20653.423610687256
f20,17736.177703857422
f120,15180.800172805786
f72,14683.067106246948
f79,13920.628406524658
f121,12429.851007461548
f55,12310.848636627197
f123,12299.885948181152
f155,12058.161506652832
f104,11648.839403152466
f19,10959.7041015625
f157,10909.684883117676
f57,10097.044002532959
f131,10094.550592422485
f45,9954.796606063843
f67,9813.2442111969
f30,9544.457504272461
f39,9534.411577224731
f129,9391.365131378174
f44,9316.002101898193
f46,9313.006731033325
f60,9297.326494216919
f43,9067.19500541687
f31,8745.189603805542
f53,8686.608585357666
f32,8632.123428344727
f73,8514.87790107727
f62,8361.693807601929
f41,8332.746795654297
f69,8200.80739402771
f59,8102.622106552124
f34,8011.141557693481
f48,7998.502576828003
f76,7976.161470413208
f150,7961.0675411224365
f126,7721.84651184082
f119,7444.037490844727
f102,7316.267776489258
f75,6918.8831996917725
f103,6829.052988052368
f40,6681.040294647217
f54,6330.127222061157
f71,6304.127628326416
f74,6091.859794616699
f47,6014.662837982178
f33,5954.048490524292
f37,5843.3942012786865
f36,5826.060836791992
f58,5607.766969680786
f17,5536.393501281738
f68,5372.220691680908
f24,5210.375638961792
f35,4296.664932250977
f101,4238.730298995972
f13,3989.267192840576
f171,3819.6709156036377
f61,3569.128801345825
f65,3562.8532638549805
f172,3293.308681488037
f15,3160.650213241577
f64,3126.252212524414
f50,3098.450481414795
f147,3054.5253143310547
f208,3037.4291915893555
f56,3018.047595977783
f18,3012.1031913757324
f51,2864.6774158477783
f38,2663.0200004577637
f176,2658.87420463562
f42,2525.004892349243
f0,2509.029796600342
f133,2454.394296646118
f52,2355.0223026275635
f180,2331.2225093841553
f189,2026.3257236480713
f70,2022.3152923583984
f188,2007.1124992370605
f146,1947.355369567871
f183,1946.273817062378
f191,1888.278907775879
f92,1871.080020904541
f159,1840.8458938598633
f66,1813.8309860229492
f127,1770.9890098571777
f163,1699.5067100524902
f25,1691.5190124511719
f209,1619.6611156463623
f168,1534.9732036590576
f100,1455.4605827331543
f84,1415.5341033935547
f142,1411.896505355835
f94,1409.9107933044434
f187,1403.506103515625
f192,1377.9596042633057
f193,1344.255500793457
f49,1343.3231983184814
f136,1304.2853965759277
f190,1301.6404037475586
f178,1167.6684913635254
f179,1111.5434036254883
f154,1070.6422061920166
f153,1057.2024936676025
f161,1053.7189102172852
f12,1042.2657051086426
f26,988.6622085571289
f156,987.5933952331543
f117,922.8866958618164
f132,910.916389465332
f174,883.4502067565918
f63,863.1090049743652
f16,860.152795791626
f198,853.1784973144531
f166,835.5425033569336
f82,820.2183036804199
f21,814.8097953796387
f214,765.6011009216309
f197,764.5894012451172
f135,755.6436958312988
f203,752.1924018859863
f144,739.8643074035645
f177,738.3961982727051
f194,735.9832153320312
f195,721.1613063812256
f90,681.1923007965088
f165,678.0227966308594
f167,646.6407051086426
f22,646.4085960388184
f134,616.2855033874512
f212,610.9480056762695
f218,600.0222015380859
f89,581.9670867919922
f169,573.7122993469238
f206,542.6473999023438
f211,529.8462982177734
f200,516.7896003723145
f99,494.322208404541
f213,488.55109786987305
f164,432.9078941345215
f196,420.40090560913086
f23,417.87420654296875
f91,390.2442970275879
f181,387.3998031616211
f81,383.1983013153076
f141,344.0717964172363
f158,329.92260360717773
f185,323.6179008483887
f204,210.01329803466797
f184,186.6171989440918
f14,159.54940032958984
f162,147.75799560546875
f210,139.78099822998047
f201,117.59049987792969
f199,108.79269790649414
f205,106.62199974060059
f151,78.2593994140625
f186,58.184600830078125
f138,57.71889877319336
f207,46.165199279785156
f98,43.793800354003906
f139,41.9552001953125
f87,0.0
f88,0.0
f80,0.0
f78,0.0
f83,0.0
f11,0.0
f85,0.0
f86,0.0
f93,0.0
f95,0.0
f96,0.0
f130,0.0
f140,0.0
f97,0.0
f149,0.0
f143,0.0
f145,0.0
f148,0.0
f137,0.0
f160,0.0
f175,0.0
f170,0.0
f182,0.0
f173,0.0
f202,0.0
f215,0.0
f216,0.0
f217,0.0
f219,0.0
f220,0.0
