feature,importance
f29,338316.52440071106
f28,301291.42299079895
f27,101591.34244918823
f6,90339.63081932068
f2,76881.02504730225
f113,73719.87643241882
f7,67995.74653053284
bn_p_target,64246.61170959473
f4,58485.83153915405
f3,57846.58813667297
f9,52049.674575805664
f109,49368.86520576477
f77,48106.68978881836
f116,47194.15930557251
f115,47030.445083618164
f124,43265.8589515686
f112,43134.24390411377
f111,43109.71219062805
f118,42333.49920463562
f122,42106.29158782959
f8,42069.041509628296
f107,37827.230377197266
f110,33423.17799568176
f1,33068.29985046387
f105,32854.87170600891
f108,32756.005853652954
f5,29922.120798110962
f106,29873.387645721436
f10,27077.364698410034
f125,23994.03123474121
f114,23201.926387786865
f152,19116.510814666748
f128,16996.10249710083
f72,15757.19907951355
f79,15175.346151351929
f120,15122.524362564087
f129,14583.778171539307
f20,14185.282398223877
f155,11835.26456451416
f121,11712.456325531006
f57,11262.118087768555
f19,11189.716449737549
f32,10968.89361000061
f30,10717.09534072876
f46,10680.474384307861
f104,10637.422399520874
f53,10372.434963226318
f55,10303.016525268555
f39,10211.321126937866
f123,10023.034664154053
f126,10022.0256690979
f157,9623.924034118652
f44,9514.065372467041
f31,9360.699209213257
f45,9299.280096054077
f48,9259.635210037231
f41,9238.177598953247
f102,8701.728855133057
f54,8450.68000793457
f69,8382.106670379639
f58,8282.068378448486
f131,8209.391674041748
f59,8160.076992034912
f76,8125.0626010894775
f150,8103.720365524292
f43,8102.191400527954
f60,8077.389005661011
f103,7923.094787597656
f73,7894.596921920776
f40,7868.842416763306
f75,7762.269723892212
f67,7668.015686035156
f71,7109.517389297485
f62,6935.67271232605
f34,6781.123380661011
f74,6504.78787612915
f119,6160.839088439941
f36,5821.234498977661
f47,5658.349216461182
f17,5599.24547958374
f33,5495.798717498779
f37,4940.773992538452
f24,4907.972763061523
f13,4803.874979019165
f35,4795.935358047485
f68,4569.655414581299
f18,3865.2619972229004
f61,3721.1439933776855
f101,3716.415599822998
f147,3474.480293273926
f56,3412.5930938720703
f171,3318.574098587036
f38,3280.3205890655518
f172,3248.2826862335205
f50,3133.644811630249
f176,3068.722074508667
f0,2968.3786792755127
f132,2899.6922035217285
f15,2755.9173164367676
f133,2490.8897972106934
f64,2442.797004699707
f42,2405.974807739258
f180,2402.309190750122
f51,2346.8277893066406
f65,2181.3459281921387
f66,2159.340684890747
f168,2093.5845012664795
f163,2025.5954132080078
f209,1897.4014072418213
f189,1894.3338985443115
f191,1864.8179874420166
f183,1860.2787952423096
f159,1830.3498992919922
f208,1814.2999153137207
f52,1807.8215980529785
f187,1707.567195892334
f25,1683.0921173095703
f49,1671.025785446167
f70,1658.5106811523438
f144,1588.356502532959
f193,1528.5404033660889
f146,1488.0711250305176
f100,1430.607707977295
f94,1412.108497619629
f174,1404.0805969238281
f192,1391.7253074645996
f92,1370.0158958435059
f127,1347.361400604248
f136,1319.7315979003906
f63,1312.517593383789
f142,1278.7795944213867
f188,1251.4480209350586
f84,1193.1368007659912
f190,1136.2826042175293
f153,1100.2247924804688
f26,1084.3032932281494
f154,1054.5413074493408
f178,1053.3034019470215
f177,1025.5577869415283
f197,1002.0272941589355
f16,978.456298828125
f89,918.3319892883301
f169,861.5623931884766
f166,851.8679962158203
f194,848.931510925293
f218,841.6499061584473
f22,827.0333976745605
f161,809.3947982788086
f156,801.3522071838379
f198,788.152997970581
f179,784.0492973327637
f185,784.0491065979004
f135,756.1168975830078
f134,685.2751979827881
f195,678.3330001831055
f214,672.1144943237305
f23,667.783504486084
f21,638.0109939575195
f90,632.6634979248047
f206,599.0029067993164
f165,572.1100902557373
f117,514.3960037231445
f164,482.9803009033203
f167,402.7680015563965
f211,393.9703998565674
f91,380.4271049499512
f99,378.9139041900635
f203,377.87450408935547
f82,355.6175994873047
f181,338.74790382385254
f158,337.9926948547363
f200,325.1067008972168
f12,314.6790962219238
f196,266.6697998046875
f87,249.42940139770508
f204,234.45149993896484
f210,234.2447967529297
f81,228.65180206298828
f207,196.1436004638672
f141,188.06129837036133
f14,162.06060028076172
f205,147.66289901733398
f213,121.96039581298828
f138,109.97739791870117
f184,107.7068977355957
f170,100.2052001953125
f212,85.61470031738281
f140,85.1698989868164
f201,49.647499084472656
f202,46.74919891357422
f139,43.66569900512695
f151,22.513999938964844
f86,0.0
f85,0.0
f80,0.0
f78,0.0
f83,0.0
f11,0.0
f93,0.0
f88,0.0
f97,0.0
f96,0.0
f130,0.0
f137,0.0
f95,0.0
f98,0.0
f145,0.0
f143,0.0
f148,0.0
f149,0.0
f162,0.0
f160,0.0
f175,0.0
f173,0.0
f186,0.0
f182,0.0
f199,0.0
f215,0.0
f217,0.0
f216,0.0
f219,0.0
f220,0.0
